Row#,specobjid,ra,dec,class,subclass,h_alpha_flux,h_beta_flux,oiii_5007_flux,nii_6584_flux,sii_6731_flux,oi_6300_flux
787,299606774963529728,145.72549,0.73065387,GALAXY,,17.65707,1.820007,29.66709,5.106196,12.72517,3.585528
788,299606775433291776,145.73267,0.53403606,GALAXY,,45.17073,16.60044,13.84128,54.12993,8.251519,14.14263
789,299607049841436672,145.73267,0.53403606,GALAXY,,57.52534,9.514073,12.04518,44.33824,13.61919,8.699006
790,299607050311198720,145.79259,0.52472729,GALAXY,STARFORMING,196.0961,43.1407,50.93515,132.1341,36.36559,16.807
791,299607324719343616,145.6519,0.46908714,GALAXY,,133.755,28.0034,6.972032,68.68687,15.13879,4.905841
792,299607325189105664,145.81392,0.48850601,GALAXY,STARFORMING,145.4322,40.73222,9.946052,47.55698,21.93468,4.610031
793,299607599597250560,145.79884,0.6504951,GALAXY,,13.70425,7.324763,2.371178,14.25752,6.311795,18.65824
794,299607600067012608,145.80019,0.41417226,GALAXY,STARFORMING,374.9436,70.19812,49.28839,198.3827,54.95967,19.15328
795,299607874475157504,145.76527,0.30018593,STAR,F9,-0.5807032,-0.1838533,0.06991692,0.0513851,29.63367,21.34288
796,299607874944919552,145.76527,0.30018593,STAR,F9,-67.06944,-63.71661,-3.068846,-51.90722,7.952694,10.74211
797,299608149353064448,145.82799,0.19321664,GALAXY,,15.86875,11.51692,-2.006023,5.257584,2.692012,2.225898
798,299608149822826496,145.6519,0.46908714,GALAXY,STARFORMING,133.9608,33.42539,8.712358,75.26357,18.13108,10.53035
799,299608424230971392,145.72946,0.12689565,GALAXY,STARFORMING,234.7746,46.34392,16.65182,83.12309,32.73359,10.58088
800,299608424700733440,145.79648,0.56150148,GALAXY,STARFORMING,198.1381,53.30949,34.14091,51.09724,36.82865,6.055596
801,299608699108878336,145.70654,0.45938881,GALAXY,,-4.978234,-0.9811188,9.060179,6.127165,-22.89536,5.488719
802,299608699578640384,145.72549,0.73065387,GALAXY,,12.61608,11.19215,15.02182,10.81521,-3.700841,-1.107799
803,299608974456547328,145.82657,0.37310286,GALAXY,,14.72631,4.268187,1.130908,4.010897,4.662686,-0.6029763
804,299609248864692224,145.81392,0.48850601,GALAXY,STARFORMING,137.0928,32.91891,12.28566,42.20993,19.69932,6.171959
805,299609249334454272,145.72946,0.12689565,GALAXY,STARFORMING,225.3687,49.74669,15.15882,89.19385,32.384,6.441563
806,299609523742599168,145.79259,0.52472729,GALAXY,STARFORMING,193.0126,49.51504,45.61839,139.434,32.33186,13.65489
807,299609524212361216,145.74324,0.46346691,GALAXY,,3.324829,-3.461496,-1.957857,-2.147318,-1.930253,0.3091171
808,299609798620506112,145.77515,0.32021602,GALAXY,STARBURST,2082.63,645.1212,4311.511,52.13974,70.39994,22.56505
809,299609799090268160,145.77515,0.32021602,GALAXY,STARBURST,2154.871,695.6219,4605.134,51.04001,70.34242,20.36342
810,299610073498413056,145.80019,0.41417226,GALAXY,STARFORMING,361.8823,62.27009,49.50208,196.5373,58.60144,20.22365
811,299610073968175104,145.76582,0.13534552,GALAXY,AGN,236.8927,56.34292,146.4084,173.0037,52.49122,19.27157
812,299610348376320000,145.76582,0.13534552,GALAXY,AGN,242.1953,48.35335,153.3905,185.1588,41.66609,17.84976
813,299610348846082048,145.82799,0.19321664,GALAXY,,16.94432,15.56413,-1.049167,-0.8388855,4.339784,0.7961434
814,299610623254226944,146.2856,1.1721241,GALAXY,,14.57659,0.6630358,14.17318,14.39189,2.815477,9.192032
815,299610623723988992,146.18715,0.96667596,GALAXY,,-5141.682,17.32529,-0.2305149,0.2925386,0,-7.734244
816,299610898132133888,146.22705,1.0058905,STAR,K7,0,0,0,0,0,0
817,299610898601895936,146.23428,1.1255896,GALAXY,,8.384018,5.287302,4.113575,22.1372,1.519184,6.487098
