Row#;specobjid;ra;dec;class;subclass;h_alpha_flux;h_beta_flux;oiii_5007_flux;nii_6584_flux;sii_6731_flux;oi_6300_flux
1006;299638386392590000.0;14678188.0;.704;GALAXY;STARFORMING;1117934.0;330836.0;136483.0;3379543.0;2551127.0;4856912.0
1007;299638660800735000.0;14661674.0;.138;GALAXY;;1138937.0;5687182.0;1200481.0;9372169.0;6648063.0;.573
1008;299638661270497000.0;1468068.0;.666;GALAXY;STARFORMING;8530652.0;1563904.0;7022443.0;5151613.0;1408103.0;4840514.0
1009;299638935678642000.0;14663864.0;.196;GALAXY;;6621988.0;6614122.0;110863.0;8116388.0;5130813.0;4054391.0
1010;299638936148404000.0;14664377.0;.467;GALAXY;;.0;1502496.0;4996249.0;.0;.0;6189579.0
1011;299639210556549000.0;14678593.0;.284;STAR;F5;-4600664.0;-2839734.0;1979268.0;-4927014.0;4493349.0;2416565.0
1012;299639211026311000.0;14679909.0;.703;GALAXY;STARBURST;2139695.0;612728.0;1053112.0;3516221.0;2448647.0;6274306.0
1013;299639485434456000.0;14669457.0;.172;GALAXY;;7715268.0;1452007.0;3377626.0;2738727.0;7352251.0;-2327605.0
1014;299639485904218000.0;14674774.0;.266;GALAXY;;1819611.0;4017173.0;927222.0;1218703.0;1017965.0;2095058.0
1015;299639760312363000.0;14661129.0;.693;GALAXY;STARFORMING;2354682.0;67929.0;1103697.0;30793.0;2925679.0;5179837.0
1016;299639760782125000.0;14685248.0;.687;GALAXY;;5449832.0;1594927.0;.571;-.201;.618;-114459.0
1017;299640035190269000.0;1467187.0;.123;STAR;M5;1222607.0;-.379;-2550032.0;-1896896.0;-3351845.0;8865484.0
1018;299640035660032000.0;14672474.0;.650;GALAXY;;-.028;2869784.0;2779288.0;1121954.0;-.218;1172029.0
1019;299640310068176000.0;14683636.0;.512;GALAXY;STARFORMING;1421043.0;352303.0;8572993.0;4649121.0;1908743.0;.969
1020;299640310537938000.0;14668492.0;.678;GALAXY;;6562848.0;8850605.0;10795.0;4200333.0;14488.0;8507778.0
1021;299640584946083000.0;14664377.0;.467;GALAXY;;.0;1637544.0;2628951.0;.0;.0;7192115.0
1022;299640585415845000.0;14661129.0;.693;GALAXY;STARFORMING;2290997.0;6875723.0;1146989.0;3127232.0;2852964.0;7205528.0
1023;299640859823990000.0;14671205.0;.458;QSO;;.0;.0;.0;.0;.0;.0
1024;299640860293752000.0;14669457.0;.172;GALAXY;;8229309.0;2137587.0;7053967.0;3052091.0;7256042.0;.281
1025;299641134701897000.0;14678188.0;.704;GALAXY;STARFORMING;1195019.0;3722766.0;1771315.0;3204426.0;.0;9208295.0
1026;299641135171659000.0;1467187.0;.123;STAR;M4;7863906.0;4911802.0;4346359.0;-1112794.0;.816;-972646.0
1027;299641409579804000.0;14672511.0;.508;GALAXY;STARBURST;7993585.0;2339729.0;3618713.0;1231729.0;8574458.0;1674936.0
1028;299641410049566000.0;14679762.0;.260;GALAXY;;.0;5983904.0;-.915;.0;.0;.0
1029;299641684457711000.0;1468068.0;.666;GALAXY;STARFORMING;8249639.0;152403.0;7282698.0;5063831.0;1445349.0;15522.0
1030;299641684927473000.0;14667518.0;.278;GALAXY;;4273344.0;4919484.0;.807;3160577.0;-.851;2371863.0
1031;299641959335618000.0;14679762.0;.260;GALAXY;;.0;-.682;3006391.0;.0;.0;.0
