fnu_12,fnu_60,rat_25_60,ra,dec
0.25,0.76,0.3947,162.8136,-17.0083
0.25,1.42,0.1761,162.9315,43.7103
0.48,9.06,0.0993,162.9439,32.8994
0.25,0.91,0.2747,163.0464,58.4382
0.25,0.42,0.5952,163.1012,59.6893
0.74,0.43,0.7674,162.9058,-35.4721
0.36,2.87,0.0871,163.0495,32.9490
0.41,0.59,0.4237,161.7377,-86.2827
0.25,4.27,0.0585,163.1363,36.6247
0.25,0.58,0.5862,163.1251,19.7935
0.25,0.73,0.4932,163.2119,37.7396
0.25,1.88,0.2447,163.2096,16.9862
0.25,3.31,0.1843,163.1039,-46.3688
0.25,1.21,0.2397,163.4779,73.6905
0.25,1.76,0.1420,163.2862,33.9081
0.25,0.91,0.2747,163.2338,-32.9331
0.42,0.42,0.5952,163.2040,-45.6723
0.25,1.43,0.1958,163.3977,50.7730
0.27,0.54,0.9444,163.5074,49.6550
0.39,0.40,0.6250,163.5276,54.8039
0.38,3.18,0.0881,163.3861,-29.3925
0.35,3.94,0.1015,163.4214,-21.7950
0.25,2.20,0.1182,163.6467,56.9907
0.42,0.92,0.2717,163.4688,-38.2135
0.22,2.00,0.1900,163.5169,-16.0307
0.25,1.50,0.2200,163.5872,27.2387
0.25,0.57,1.8421,163.6152,17.7565
0.25,0.41,0.6098,163.5397,-33.1252
